식당ID,작성자,작성일,리뷰내용
1234407239,리오3573,6.9.화,"가리비도 삼겹살도 정말 너무너무너무 맛있어요
직접 구워주셔서 편하고 전문가분이 구워주시니 더 맛있네요ㅎㅎㅎ 담에 회식으로 와봐야겠어요.
가리비도 퀄리티가 정말 좋습니다
생맥주도 삿포로, 에비스, 스텔라 등 종류도 많아서 골라마셨네요ㅎㅎㅎ김치도 존맛입니다!!"
1234407239,NOORUNG,6.8.월,평일 빠른 저녁에 왔는데 야장이 보이는 곳에 앉아 냄새없이 너무 좋네요! 고기를 너무 맛있게 구워주셔서 더 행복합니다! 집 코앞인데 완전 단골될거같아요
1234407239,rha****,6.6.토,미친거 아닐까요 너무 맛있어요 … 와 내가 먹은건 여태 가짜고기야 … 여기가 진짜고기구요 와…
1234407239,봉입니다요,6.5.금,또왔어요 고기는역시 흑벽돌집 ^^
1234407239,랄랄랄랄29,6.3.수,벌써 n번째 방문인데 언제와도 너무 맛있네요! 😎 강추입니댱!
1234407239,qvi****,6.2.화,"숯불에 고기가 쫄깃함과 백합탕 국물이 끝내줘요
맛집 최고예요~ ^^"
1234407239,소소소야,6.2.화,"고기가 두툼하고 너무 맛있어요 💕💕
언주역 논현동 고기맛집 추천!!!!!"
1234407239,hye****,6.1.월,집 근처라서 들렸는데 구성도 너무 좋고 맛있어요!!! 직원분들도 친절하고 단골될듯☺️
1234407239,il****,6.4.목,"전반적으로 친절하기는 한데 직원, 사장, 주방 소통은 잘 되면 좋겠어요. 룸이용료 5만원 반환받기위해 사흘동안 세번이나 연락해야했고, 메뉴 셋팅 미리 알려달라해서 문자로 보내드렸는데 전달되지 못했더라구요.
두번째 방문이었는데 이 부분은 여려모로 아쉽네요"
1234407239,dbt****,5.30.토,이른시간에 방문했음에도 맛집인게 느껴지는게 손님들이 계속들어왔어요 고기질도좋고 그릴링서비스가좋네요
1234407239,바니6693,5.29.금,회식하러왔는데 너무 맛나고 깔끔합니다~~친절하고 언주역 맛집찾으시연 강력추천~~♡
1234407239,hea****,5.29.금,"벽돌집 오랜만에 왔는데 역시나 너무 맛있네용!!!! 장어도 생겨서 같이 먹었는데 존맛탱입니당
언주역에서 고기집은 흑벽돌집이 최고에용!!!!"
1234407239,jhj****,5.29.금,"회식장소로 예약했어요!!!
다들 만족감 대박
고기도 해산물도 같이 먹을수있어서 너무 좋아용~♡"
1234407239,똥꾸야41,5.29.금,"회식으로 처음 방문했는데
고기도 맛있고 가리비 조개도 너무 맛있어요!!
맛있는거 먹으니 기분이 좋아지네용 🤗"
1234407239,말카,5.29.금,"직원분들 모두 엄청 친절하시고, 고기도 진짜 맛있게 육즙가득하게 구워주셔서 먹기만 했어요:) 맛집으로 자주 자주올 것 같아요! 최고👍👏❤️❤️"
1234407239,약속3011,5.25.월,"논현동에 있는 고기집인 흑벽돌집 언주역이랑도 가깝고, 고기가 맛있어서 집에서 먼데도 불구하고 찾아와서 먹는집이에요! 너무 맛있게 잘 먹었습니다! 고깃집 찾는 분들 강력 추천합니다!
그러면 다음에 또 방문할게요🤣"
1234407239,로드런너14,5.24.일,언주역 맛집 인정  맛있어요
1234407239,렬코치,5.23.토,"너무맛잇어서 또왔어요
고기도 직접구워주시고 고기도 신선하고 잡내없고 맛있어요"
1234407239,altakan,5.23.토,다양한 부위를 다채롭게 즐길수 있었네요. 직접꾸워주시는 직원도 매우 친절하구요. 다음에 재방문의사있습니다
1234407239,오로지76,5.23.토,회사 지인들하고 왔는데 고기도 구워주고 너무 맛있어요!
